Site,VLAN,Service,"	Bl Fo Mini Hubs"
CTG_UR2128,,2G_fhl,CTG_X0516
CTG_UR2128,,3G_fhl,CTG_X0516
CTG_UR2191,,3G_scl,CTG_X0359
CTG_UR2191,,OM_scl,CTG_X0359
CTG_UR2204,,3G_scl,CTG_X0513
CTG_UR2204,,OM_scl,CTG_X0513
CTG_UR2328,,3G_scl,CTG_X0359
CTG_UR2328,,OM_scl,CTG_X0359
CTG_UR2329,,3G_scl,CTG_X0359
CTG_UR2329,,OM_scl,CTG_X0359
CTG_V1419,,3G_fhl,CTG_B1419
CTG_V1419,,OM_fhl,CTG_B1419
CTG_V2236,,3G_fhl,CTG_B2236
CTG_V2236,,OM_fhl,CTG_B2236
CTG_W0035,,2G_scl,"CTG_X0692 "
CTG_W0035,,3G_scl,"CTG_X0692 "
CTG_W0252,,2G_scl,CTG_X0419
CTG_W1774,,RTN_scl,CTG_X0274
CTG_W1851,,2G_scl,CTG_X0419
CTG_W1891,,2G_scl,CTG_X0484
CTG_W1891,,3G_scl,CTG_X0484
CTG_X0001,,2G_fhl,CTG_X0001
CTG_X0002,,2G_fhl,CTG_X0002
CTG_X0004,,2G_fhl,CTG_X0004
CTG_X0005,,2G_fhl,CTG_X0005
CTG_X0005,,3G_fhl,CTG_X0005
CTG_X0006,,2G_fhl,CTG_X0055
CTG_X0006,,3G_fhl,CTG_X0055
CTG_X0007,,2G_fhl,CTG_X0007
CTG_X0008,,2G_fhl,CTG_X0008
CTG_X0008,,3G_fhl,CTG_X0008
CTG_X0011,,2G_scl,CTG_X0081
CTG_X0011,,3G_scl,CTG_X0081
CTG_X0012,,2G_fhl,CTG_X0012
CTG_X0012,,3G_fhl,CTG_X0012
CTG_X0014,,2G_fhl,CTG_X0014
CTG_X0015,,2G_fhl,CTG_X0015
CTG_X0015,,3G_fhl,CTG_X0015
CTG_X0016,,2G_scl,CTG_X0480
CTG_X00160,,2G_scl,CTG_X1602
CTG_X00160,,3G_scl,CTG_X1602
CTG_X0017,,2G_scl,CTG_X0519
CTG_X0019,,2G_scl,CTG_X0019
CTG_X0019,,3G_scl,CTG_X0019
